initial_search_query,query,position,link,displayLink,site_probability
therapy near me,family therapy near me,3,https://www.kellerchildandfamilytherapy.com/,www.kellerchildandfamilytherapy.com,5.1155696783051315e-05
therapy near me,family therapy near me,4,https://www.aamft.org/Directories/Find_a_Therapist.aspx,www.aamft.org,2.728303828429404e-05
therapy near me,family therapy near me,5,https://www.yelp.com/nearme/family-counseling,www.yelp.com,2.3872658498757283e-05
therapy near me,family therapy near me,6,https://summitfamilytherapy.com/,summitfamilytherapy.com,1.7051898927683775e-05
therapy near me,family therapy near me,7,https://capitaldistricttherapy.com/,capitaldistricttherapy.com,1.364151914214702e-05
therapy near me,family therapy near me,8,https://www.yelp.com/nearme/family-therapy,www.yelp.com,1.0231139356610264e-05
therapy near me,family therapy near me,9,http://strongsvillefamilycounseling.com/,strongsvillefamilycounseling.com,6.82075957107351e-06
therapy near me,family therapy near me,10,https://www.fftllc.com/sites/,www.fftllc.com,3.410379785536755e-06
therapy near me,family therapy,1,https://www.mayoclinic.org/tests-procedures/family-therapy/about/pac-20385237,www.mayoclinic.org,0.0028915467349837614
therapy near me,family therapy,2,https://healthypsych.com/family-therapy/,healthypsych.com,0.001652312419990721
therapy near me,family therapy,3,https://www.goodtherapy.org/learn-about-therapy/modes/family-therapy,www.goodtherapy.org,0.0012392343149930406
therapy near me,family therapy,4,https://positivepsychology.com/family-therapy/,positivepsychology.com,0.0006609249679962884
therapy near me,family therapy,5,https://www.ncbi.nlm.nih.gov/books/NBK64269/,www.ncbi.nlm.nih.gov,0.0005783093469967523
therapy near me,family therapy,6,https://en.wikipedia.org/wiki/Family_therapy,en.wikipedia.org,0.00041307810499768025
therapy near me,family therapy,7,https://www.webmd.com/parenting/family-therapy-overview,www.webmd.com,0.0003304624839981442
therapy near me,family therapy,8,https://www.cornerstonefamilytherapy.org/,www.cornerstonefamilytherapy.org,0.00024784686299860815
therapy near me,family therapy,9,https://www.aamft.org/,www.aamft.org,0.0001652312419990721
therapy near me,family therapy,10,https://www.ftacounseling.com/,www.ftacounseling.com,8.261562099953605e-05
therapy near me,hormone therapy near me,1,https://www.dfwantiagingwellness.com/tag/hormone-therapy-treatment-near-me/,www.dfwantiagingwellness.com,0.00011766992825380917
therapy near me,hormone therapy near me,2,https://www.illumeaesthetics.com/bioidentical-hormone-therapy,www.illumeaesthetics.com,6.723995900217667e-05
